x	y	TVDss	Layer	Prediction	WellName	por
689340.706	5072557.328	1515.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1516.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1517.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1518.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1519.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1520.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1521.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.011
689340.706	5072557.328	1522.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.115
689340.706	5072557.328	1523.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.019
689340.706	5072557.328	1524.844	10.0	0.013626986	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1525.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1526.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1527.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1528.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1529.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1530.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1531.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1532.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1533.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.008
689340.706	5072557.328	1534.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1535.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1536.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1537.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1538.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1539.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1540.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1541.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1542.844	10.0	-0.00016896304	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1543.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1544.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1545.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1546.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1547.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1548.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1549.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1550.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1551.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1552.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1553.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1554.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1555.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1556.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1557.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1558.844	10.0	-0.0006239916	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1559.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1560.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1561.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1562.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1563.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1564.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1565.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1566.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1567.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1568.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1569.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1570.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1571.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1572.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1573.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.02
689340.706	5072557.328	1574.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1575.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1576.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1577.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1578.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1579.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1580.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.026
689340.706	5072557.328	1581.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1582.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1583.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1584.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1585.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1586.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1587.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1588.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1589.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1590.844	10.0	0.004059845	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1591.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1592.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1593.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1594.844	10.0	0.0062464	REZOVACCKE_KRCCEVINE-1	0.0
