x	y	TVDss	Layer	Prediction	WellName	temp
689340.706	5072557.328	723.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.763
689340.706	5072557.328	724.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.803
689340.706	5072557.328	725.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.843
689340.706	5072557.328	726.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.883
689340.706	5072557.328	727.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.923
689340.706	5072557.328	728.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	49.963
689340.706	5072557.328	729.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	50.004
689340.706	5072557.328	730.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	50.043
689340.706	5072557.328	731.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	50.084
689340.706	5072557.328	732.844	6.0	49.822136	REZOVACCKE_KRCCEVINE-1	50.124
689340.706	5072557.328	733.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.164
689340.706	5072557.328	734.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.204
689340.706	5072557.328	735.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.244
689340.706	5072557.328	736.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.284
689340.706	5072557.328	737.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.324
689340.706	5072557.328	738.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.364
689340.706	5072557.328	739.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.404
689340.706	5072557.328	740.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.444
689340.706	5072557.328	741.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.484
689340.706	5072557.328	742.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.524
689340.706	5072557.328	743.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.564
689340.706	5072557.328	744.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.604
689340.706	5072557.328	745.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.644
689340.706	5072557.328	746.844	6.0	50.382843	REZOVACCKE_KRCCEVINE-1	50.684
689340.706	5072557.328	747.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.724
689340.706	5072557.328	748.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.764
689340.706	5072557.328	749.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.805
689340.706	5072557.328	750.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.844
689340.706	5072557.328	751.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.885
689340.706	5072557.328	752.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.925
689340.706	5072557.328	753.844	6.0	50.890118	REZOVACCKE_KRCCEVINE-1	50.965
